Kanji	Reading	Romaji	Type	Uncommon?	Variation of
憎	にく.らしい	niku.rashii	Kun		
憎	にく.しみ	niku.shimi	Kun		
蔵	ゾウ	ZOU	On		
蔵	くら	kura	Kun		
贈	ゾウ	ZOU	On		
贈	ソウ	SOU	On	Y	
贈	おく.る	oku.ru	Kun		
臓	ゾウ	ZOU	On		
即	ソク	SOKU	On		
束	ソク	SOKU	On		
束	たば	taba	Kun		
足	ソク	SOKU	On		
足	あし	ashi	Kun		
足	た.りる	ta.riru	Kun		
足	た.る	ta.ru	Kun		
足	た.す	ta.su	Kun		
促	ソク	SOKU	On		
促	うなが.す	unaga.su	Kun		
則	ソク	SOKU	On		
息	ソク	SOKU	On		
息	いき	iki	Kun		
捉	ソク	SOKU	On		
捉	とら.える	tora.eru	Kun		
速	ソク	SOKU	On		
速	はや.い	haya.i	Kun		
速	はや.める	haya.meru	Kun		
速	はや.まる	haya.maru	Kun		
速	すみ.やか	sumi.yaka	Kun		
側	ソク	SOKU	On		
側	がわ	gawa	Kun		
測	ソク	SOKU	On		
測	はか.る	haka.ru	Kun		
俗	ゾク	ZOKU	On		
族	ゾク	ZOKU	On		
属	ゾク	ZOKU	On		
賊	ゾク	ZOKU	On		
続	ゾク	ZOKU	On		
続	つづ.く	tsudu.ku	Kun		
続	つづ.ける	tsudu.keru	Kun		
卒	ソツ	SOTSU	On		
率	ソツ	SOTSU	On		
率	リツ	RITSU	On		
率	ひき.いる	hiki.iru	Kun		
存	ソン	SON	On		
存	ゾン	ZON	On		
村	ソン	SON	On		
村	むら	mura	Kun		
孫	ソン	SON	On		
孫	まご	mago	Kun		
尊	ソン	SON	On		
尊	たっと.い	tatto.i	Kun		
尊	とうと.い	touto.i	Kun		
尊	たっと.ぶ	tatto.bu	Kun		
尊	とうと.ぶ	touto.bu	Kun		
損	ソン	SON	On		
損	そこ.なう	soko.nau	Kun		
損	そこ.ねる	soko.neru	Kun		
遜	ソン	SON	On		
他	タ	TA	On		
他	ほか	hoka	Kun		
多	タ	TA	On		
多	おお.い	oo.i	Kun		
汰	タ	TA	On		
打	ダ	DA	On		
打	う.つ	u.tsu	Kun		
妥	ダ	DA	On		
唾	ダ	DA	On		
唾	つば	tsuba	Kun		
堕	ダ	DA	On		
惰	ダ	DA	On		
駄	ダ	DA	On		
太	タイ	TAI	On		
太	タ	TA	On		
太	ふと.い	futo.i	Kun		
太	ふと.る	futo.ru	Kun		
対	タイ	TAI	On		
対	ツイ	TSUI	On		
体	タイ	TAI	On		
体	テイ	TEI	On		
体	からだ	karada	Kun		
耐	タイ	TAI	On		
耐	た.える	ta.eru	Kun		
待	タイ	TAI	On		
待	ま.つ	ma.tsu	Kun		
怠	タイ	TAI	On		
怠	おこた.る	okota.ru	Kun		
怠	なま.ける	nama.keru	Kun		
胎	タイ	TAI	On		
退	タイ	TAI	On		
退	しりぞ.く	shirizo.ku	Kun		
退	しりぞ.ける	shirizo.keru	Kun		
帯	タイ	TAI	On		
帯	お.びる	o.biru	Kun		
帯	おび	obi	Kun		
泰	タイ	TAI	On		
堆	タイ	TAI	On		
袋	タイ	TAI	On		
袋	ふくろ	fukuro	Kun		
逮	タイ	TAI	On		
替	タイ	TAI	On		
替	かえ.る	kae.ru	Kun		
替	か.える	ka.eru	Kun		
替	か.わる	ka.waru	Kun		
貸	タイ	TAI	On		
貸	か.す	ka.su	Kun		
隊	タイ	TAI	On		
滞	タイ	TAI	On		
滞	とどこお.る	todokoo.ru	Kun		
態	タイ	TAI	On		
戴	タイ	TAI	On		
大	ダイ	DAI	On		
大	タイ	TAI	On		
大	おお	oo	Kun		
大	おお.きい	oo.kii	Kun		
大	おお.いに	oo.ini	Kun		
代	ダイ	DAI	On		
代	タイ	TAI	On		
代	か.わる	ka.waru	Kun		
代	か.える	ka.eru	Kun		
代	よ	yo	Kun		
代	しろ	shiro	Kun		
台	ダイ	DAI	On		
台	タイ	TAI	On		
第	ダイ	DAI	On		
題	ダイ	DAI	On		
滝	たき	taki	Kun		
宅	タク	TAKU	On		
択	タク	TAKU	On		
沢	タク	TAKU	On		
沢	さわ	sawa	Kun		
卓	タク	TAKU	On		
拓	タク	TAKU	On		
託	タク	TAKU	On		
濯	タク	TAKU	On		
諾	ダク	DAKU	On		
濁	ダク	DAKU	On		
濁	にご.る	nigo.ru	Kun		
濁	にご.す	nigo.su	Kun		
但	ただ.し	tada.shi	Kun		
達	タツ	TATSU	On		
脱	ダツ	DATSU	On		
脱	ぬ.ぐ	nu.gu	Kun		
脱	ぬ.げる	nu.geru	Kun		
奪	ダツ	DATSU	On		
奪	うば.う	uba.u	Kun		
棚	たな	tana	Kun		
誰	だれ	dare	Kun		
丹	タン	TAN	On		
旦	タン	TAN	On		
旦	ダン	DAN	On		
担	タン	TAN	On		
担	かつ.ぐ	katsu.gu	Kun		
担	にな.う	nina.u	Kun		
単	タン	TAN	On		
炭	タン	TAN	On		
炭	すみ	sumi	Kun		
胆	タン	TAN	On		
探	タン	TAN	On		
探	さぐ.る	sagu.ru	Kun		
探	さが.す	saga.su	Kun		
淡	タン	TAN	On		
淡	あわ.い	awa.i	Kun		
短	タン	TAN	On		
短	みじか.い	mijika.i	Kun		
嘆	タン	TAN	On		
嘆	なげ.く	nage.ku	Kun		
嘆	なげ.かわしい	nage.kawashii	Kun		
端	タン	TAN	On		
端	はし	hashi	Kun		
端	は	ha	Kun		
端	はた	hata	Kun		
綻	タン	TAN	On		
綻	ほころ.びる	hokoro.biru	Kun		
誕	タン	TAN	On		
鍛	タン	TAN	On		
鍛	きた.える	kita.eru	Kun		
団	ダン	DAN	On		
団	トン	TON	On	Y	
男	ダン	DAN	On		
男	ナン	NAN	On		
男	おとこ	otoko	Kun		
段	ダン	DAN	On		
断	ダン	DAN	On		
断	た.つ	ta.tsu	Kun		
断	ことわ.る	kotowa.ru	Kun		
弾	ダン	DAN	On		
弾	ひ.く	hi.ku	Kun		
弾	はず.む	hazu.mu	Kun		
弾	たま	tama	Kun		
暖	ダン	DAN	On		
暖	あたた.か	atata.ka	Kun		
暖	あたた.かい	atata.kai	Kun		
暖	あたた.まる	atata.maru	Kun		
暖	あたた.める	atata.meru	Kun		
談	ダン	DAN	On		
壇	ダン	DAN	On		
壇	タン	TAN	On	Y	
地	チ	CHI	On		
地	ジ	JI	On		
池	チ	CHI	On		
池	いけ	ike	Kun		
知	チ	CHI	On		
知	し.る	shi.ru	Kun		
値	チ	CHI	On		
値	ね	ne	Kun		
値	あたい	atai	Kun		
恥	チ	CHI	On		
恥	は.じる	ha.jiru	Kun		
恥	はじ	haji	Kun		
恥	は.じらう	ha.jirau	Kun		
恥	は.ずかしい	ha.zukashii	Kun		
致	チ	CHI	On		
致	いた.す	ita.su	Kun		
遅	チ	CHI	On		
遅	おく.れる	oku.reru	Kun		
遅	おく.らす	oku.rasu	Kun		
遅	おそ.い	oso.i	Kun		
痴	チ	CHI	On		
稚	チ	CHI	On		
置	チ	CHI	On		
置	お.く	o.ku	Kun		
緻	チ	CHI	On		
竹	チク	CHIKU	On		
竹	たけ	take	Kun		
畜	チク	CHIKU	On		
逐	チク	CHIKU	On		
蓄	チク	CHIKU	On		
蓄	たくわ.える	takuwa.eru	Kun		
築	チク	CHIKU	On		
築	きず.く	kizu.ku	Kun		
秩	チツ	CHITSU	On		
窒	チツ	CHITSU	On		
茶	チャ	CHA	On		
茶	サ	SA	On		
着	チャク	CHAKU	On		
着	ジャク	JAKU	On	Y	
着	き.る	ki.ru	Kun		
着	き.せる	ki.seru	Kun		
着	つ.く	tsu.ku	Kun		
着	つ.ける	tsu.keru	Kun		
嫡	チャク	CHAKU	On		
中	チュウ	CHUU	On		
中	ジュウ	JUU	On	Y	
中	なか	naka	Kun		
仲	チュウ	CHUU	On		
仲	なか	naka	Kun		
虫	チュウ	CHUU	On		
虫	むし	mushi	Kun		
沖	チュウ	CHUU	On		
沖	おき	oki	Kun		
宙	チュウ	CHUU	On		
忠	チュウ	CHUU	On		
抽	チュウ	CHUU	On		
注	チュウ	CHUU	On		
注	そそ.ぐ	soso.gu	Kun		
昼	チュウ	CHUU	On		
昼	ひる	hiru	Kun		
柱	チュウ	CHUU	On		
柱	はしら	hashira	Kun		
衷	チュウ	CHUU	On		
酎	チュウ	CHUU	On		
鋳	チュウ	CHUU	On		
鋳	い.る	i.ru	Kun		
駐	チュウ	CHUU	On		
著	チョ	CHO	On		
著	あらわ.す	arawa.su	Kun		
著	いちじる.しい	ichijiru.shii	Kun		
貯	チョ	CHO	On		
丁	チョウ	CHOU	On		
丁	テイ	TEI	On		
弔	チョウ	CHOU	On		
