Kanji	Reading	Uncommon?	Note
聞	き.く		⇔ 聴く
併	あわ.せる		⇔ 合わせる
閉	し.める		⇔ 締める
閉	し.まる		⇔ 締まる
別	わか.れる		⇔ 分かれる
返	かえ.す		⇔ 帰す
返	かえ.る		⇔ 帰る
変	か.わる		⇔ 替わる，代わる，換わる
変	か.える		⇔ 替える，代える，換える
捕	と.らえる		⇔ 捉える
捕	と.る		⇔ 取る，採る
放	はな.す		⇔ 離す
放	はな.れる		⇔ 離れる
法	ホッ	Y	「法主」は，「ホウシュ」とも。
倣	なら.う		⇔ 習う
訪	たず.ねる		⇔ 尋ねる
亡	な.い		多く文語の「亡き」で使う。
亡	な.い		⇔ 無い
冒	おか.す		⇔ 犯す，侵す
望	モウ		「大望」は，「タイボウ」とも。
謀	はか.る		⇔ 計る，量る，図る
頬	ほお		「頰」は，「ほほ」とも。
本	もと		⇔ 下，元，基
末	バツ		「末子」，「末弟」は，「マッシ」，「マッテイ」とも。
務	つと.める		⇔ 勤める，努める
務	つと.まる		⇔ 勤まる
無	な.い		⇔ 亡い
明	あ.ける		⇔ 開ける，空ける
明	あ.く		⇔ 開く，空く
免	まぬか.れる		「まぬがれる」とも。
面	おもて		⇔ 表
妄	ボウ		「妄言」は，「モウゲン」とも。
耗	モウ		「モウ」は，慣用音。
目	ボク	Y	「面目」は，「メンモク」とも。
問	とん	Y	「問屋」は，「といや」とも。
躍	おど.る		⇔ 踊る
油	あぶら		⇔ 脂
有	あ.る		⇔ 在る
湧	わ.く		⇔ 沸く
憂	うれ.える		⇔ 愁える
憂	うれ.い		⇔ 愁い
憂	う.い		「憂き」は，文語の連体形。
妖	あや.しい		⇔ 怪しい
要	い.る		⇔ 入る
揚	あ.げる		⇔ 上げる，挙げる
揚	あ.がる		⇔ 上がる，挙がる
溶	と.ける		⇔ 解ける
溶	と.かす		⇔ 解かす
溶	と.く		⇔ 解く
踊	おど.る		⇔ 躍る
謡	うた.う		⇔ 歌う
抑	おさ.える		⇔ 押さえる
利	き.く		⇔ 効く
離	はな.れる		⇔ 放れる
離	はな.す		⇔ 放す
立	た.つ		⇔ 建つ
立	た.てる		⇔ 建てる
留	と.める		⇔ 止める，泊める
留	と.まる		⇔ 止まる，泊まる
良	よ.い		⇔ 善い
量	はか.る		⇔ 計る，測る，図る，謀る
礼	ライ		「礼拝」は，「レイハイ」とも。
裂	さ.く		⇔ 割く
